N,NT,T,TRS
10000, 1, 107.801, <1 trial(s)>
10000, 5, 26.4822, <1 trial(s)>
10000, 10, 13.9914, <2 trial(s)>
10000, 20, 11.427, <2 trial(s)>
10000, 30, 11.3802, <2 trial(s)>
10000, 40, 11.0626, <2 trial(s)>
